TaxName	species	Abundance_per_rank_RawFile	SampleCategory	RawFile
Rothia mucilaginosa	43675	1218.49303	Caries	Caries-E01
Prevotella histicola	470565	826.41872	Caries	Caries-E01
Veillonella atypica	39777	645.6668	Caries	Caries-E01
Haemophilus parainfluenzae	729	603.44515	Caries	Caries-E01
Streptococcus salivarius	1304	573.52379	Caries	Caries-E01
Prevotella melaninogenica	28132	529.46865	Caries	Caries-E01
Veillonella dispar	39778	424.16449	Caries	Caries-E01
Prevotella pallens	60133	371.08262	Caries	Caries-E01
Streptococcus parasanguinis	1318	346.66744	Caries	Caries-E01
Prevotella sp. oral taxon 473	712469	343.95969	Caries	Caries-E01
Stomatobaculum longum	796942	318.16371	Caries	Caries-E01
Neisseria mucosa	488	280.0	Caries	Caries-E01
Streptococcus mitis	28037	275.90164	Caries	Caries-E01
Actinomyces graevenitzii	55565	259.23162	Caries	Caries-E01
Veillonella sp. oral taxon 158	671228	246.85161	Caries	Caries-E01
Leptotrichia wadei	157687	217.20073	Caries	Caries-E01
Fusobacterium periodonticum	860	182.00096	Caries	Caries-E01
Porphyromonas sp. oral taxon 279	712438	181.82419	Caries	Caries-E01
Actinomyces sp. oral taxon 172	712118	170.37968	Caries	Caries-E01
Leptotrichia sp. oral taxon 215	712359	160.0	Caries	Caries-E01
Streptococcus infantis	68892	146.59259	Caries	Caries-E01
Gemella sanguinis	84135	142.19271	Caries	Caries-E01
Oribacterium sinus	237576	128.28716	Caries	Caries-E01
candidate division TM7 single-cell isolate TM7a	447454	125.37832	Caries	Caries-E01
Corynebacterium matruchotii	43768	100.0	Caries	Caries-E01
Megasphaera micronuciformis	187326	97.05426	Caries	Caries-E01
Actinomyces odontolyticus	1660	88.54155	Caries	Caries-E01
Lachnospiraceae bacterium oral taxon 082	712976	88.00665	Caries	Caries-E01
Leptotrichia shahii	157691	82.45984	Caries	Caries-E01
Neisseria subflava	28449	80.0	Caries	Caries-E01
Selenomonas sp. oral taxon 149	712535	67.25051	Caries	Caries-E01
Peptostreptococcus stomatis	341694	63.31453	Caries	Caries-E01
Fusobacterium nucleatum	851	61.78645	Caries	Caries-E01
Tannerella sp. oral taxon BU063	712710	60.0	Caries	Caries-E01
Prevotella scopos	589437	56.48844	Caries	Caries-E01
Leptotrichia buccalis	40542	45.6638	Caries	Caries-E01
Selenomonas sputigena	69823	45.62382	Caries	Caries-E01
Atopobium parvulum	1382	43.29594	Caries	Caries-E01
Prevotella buccalis	28127	43.13447	Caries	Caries-E01
Granulicatella adiacens	46124	41.25312	Caries	Caries-E01
Polynucleobacter necessarius	576610	40.8559	Caries	Caries-E01
Streptococcus australis	113107	40.82512	Caries	Caries-E01
Porphyromonas gingivalis	837	40.0	Caries	Caries-E01
Gemella haemolysans	1379	40.0	Caries	Caries-E01
Lachnoanaerobaculum saburreum	467210	40.0	Caries	Caries-E01
Prevotella sp. oral taxon 306	712461	27.07885	Caries	Caries-E01
Selenomonas flueggei	135080	26.17704	Caries	Caries-E01
Streptococcus oligofermentans	195041	25.52916	Caries	Caries-E01
Prevotella oris	28135	25.22988	Caries	Caries-E01
Streptococcus gordonii	1302	24.73628	Caries	Caries-E01
Prevotella sp. oral taxon 299	652716	24.50404	Caries	Caries-E01
Prevotella veroralis	28137	23.81499	Caries	Caries-E01
Veillonella parvula	29466	23.54798	Caries	Caries-E01
Prevotella salivae	228604	23.42896	Caries	Caries-E01
Prevotella baroniae	305719	23.32095	Caries	Caries-E01
Actinomyces massiliensis	461393	22.50344	Caries	Caries-E01
Prevotella multisaccharivorax	310514	20.88766	Caries	Caries-E01
Neisseria meningitidis	487	20.0	Caries	Caries-E01
Filifactor alocis	143361	20.0	Caries	Caries-E01
Campylobacter concisus	199	20.0	Caries	Caries-E01
Abiotrophia defectiva	46125	20.0	Caries	Caries-E01
Alloprevotella tannerae	76122	20.0	Caries	Caries-E01
Leptotrichia goodfellowii	157692	20.0	Caries	Caries-E01
Actinomyces sp. oral taxon 180	651609	20.0	Caries	Caries-E01
Streptococcus cristatus	45634	20.0	Caries	Caries-E01
Lachnospiraceae bacterium oral taxon 500	712991	20.0	Caries	Caries-E01
Capnocytophaga sp. oral taxon 329	706435	20.0	Caries	Caries-E01
Prevotella nigrescens	28133	20.0	Caries	Caries-E01
Aggregatibacter aphrophilus	732	20.0	Caries	Caries-E01
Alloprevotella rava	671218	20.0	Caries	Caries-E01
Fusobacterium sp. oral taxon 370	712288	20.0	Caries	Caries-E01
Selenomonas sp. oral taxon 138	712532	20.0	Caries	Caries-E01
Prevotella saccharolytica	633701	20.0	Caries	Caries-E01
Bacteroides pyogenes	310300	20.0	Caries	Caries-E01
Actinomyces timonensis	1288391	20.0	Caries	Caries-E01
Mycoplasma salivarium	2124	20.0	Caries	Caries-E01
Mycoplasma mycoides	2102	20.0	Caries	Caries-E01
Rothia mucilaginosa	43675	1304.75406	Caries	Caries-E02
Prevotella histicola	470565	761.77723	Caries	Caries-E02
Veillonella atypica	39777	634.04416	Caries	Caries-E02
Haemophilus parainfluenzae	729	609.73748	Caries	Caries-E02
Streptococcus salivarius	1304	568.91629	Caries	Caries-E02
Prevotella melaninogenica	28132	518.72041	Caries	Caries-E02
Veillonella dispar	39778	430.01066	Caries	Caries-E02
Prevotella pallens	60133	368.41976	Caries	Caries-E02
Prevotella sp. oral taxon 473	712469	347.43913	Caries	Caries-E02
Streptococcus parasanguinis	1318	333.07708	Caries	Caries-E02
Stomatobaculum longum	796942	314.74767	Caries	Caries-E02
Neisseria mucosa	488	290.5255	Caries	Caries-E02
Actinomyces graevenitzii	55565	283.00466	Caries	Caries-E02
Streptococcus mitis	28037	276.45266	Caries	Caries-E02
Veillonella sp. oral taxon 158	671228	242.83849	Caries	Caries-E02
Leptotrichia wadei	157687	230.11052	Caries	Caries-E02
Actinomyces sp. oral taxon 172	712118	191.1153	Caries	Caries-E02
Porphyromonas sp. oral taxon 279	712438	184.97535	Caries	Caries-E02
Fusobacterium periodonticum	860	182.17744	Caries	Caries-E02
Leptotrichia sp. oral taxon 215	712359	162.69481	Caries	Caries-E02
Streptococcus infantis	68892	160.74041	Caries	Caries-E02
Gemella sanguinis	84135	145.75001	Caries	Caries-E02
candidate division TM7 single-cell isolate TM7a	447454	130.61999	Caries	Caries-E02
Oribacterium sinus	237576	125.06279	Caries	Caries-E02
Corynebacterium matruchotii	43768	112.01302	Caries	Caries-E02
Actinomyces odontolyticus	1660	102.87098	Caries	Caries-E02
Megasphaera micronuciformis	187326	93.08817	Caries	Caries-E02
Neisseria subflava	28449	92.1518	Caries	Caries-E02
Leptotrichia shahii	157691	88.55733	Caries	Caries-E02
Lachnospiraceae bacterium oral taxon 082	712976	87.99701	Caries	Caries-E02
Selenomonas sp. oral taxon 149	712535	69.14861	Caries	Caries-E02
Fusobacterium nucleatum	851	62.59072	Caries	Caries-E02
Peptostreptococcus stomatis	341694	62.16739	Caries	Caries-E02
Tannerella sp. oral taxon BU063	712710	60.0	Caries	Caries-E02
Prevotella scopos	589437	53.39796	Caries	Caries-E02
Streptococcus australis	113107	49.47529	Caries	Caries-E02
Leptotrichia buccalis	40542	47.04194	Caries	Caries-E02
Granulicatella adiacens	46124	45.41135	Caries	Caries-E02
Atopobium parvulum	1382	45.12123	Caries	Caries-E02
Prevotella buccalis	28127	43.36885	Caries	Caries-E02
Porphyromonas gingivalis	837	40.0	Caries	Caries-E02
Gemella haemolysans	1379	40.0	Caries	Caries-E02
Selenomonas sputigena	69823	40.0	Caries	Caries-E02
Lachnoanaerobaculum saburreum	467210	40.0	Caries	Caries-E02
Polynucleobacter necessarius	576610	40.0	Caries	Caries-E02
Selenomonas flueggei	135080	25.46498	Caries	Caries-E02
Prevotella sp. oral taxon 299	652716	25.4196	Caries	Caries-E02
Streptococcus oligofermentans	195041	25.37194	Caries	Caries-E02
Prevotella sp. oral taxon 306	712461	24.61519	Caries	Caries-E02
Aggregatibacter aphrophilus	732	23.76168	Caries	Caries-E02
